States,kharif_temp,rabi_temp,summer_temp,yearly_temp
bihar,33.583333333333336,23.106,34.92333333333334,29.186363636363637
meghalaya,22.070000000000004,15.851999999999999,20.363333333333333,18.778181818181817
punjab,34.73,20.312,31.25,27.227272727272727
madhya pradesh,30.429999999999996,23.562,35.343333333333334,28.648181818181822
goa,27.316666666666666,28.474,30.30333333333333,28.657272727272723
rajasthan,33.37333333333333,22.766,33.35,28.54545454545454
telangana,28.679999999999996,25.574,35.01,28.994545454545456
gujarat,30.616666666666664,27.276,33.76333333333333,29.95636363636364
dadra and nagar haveli,28.223333333333333,27.016,30.063333333333333,28.176363636363632
uttar pradesh,34.01,22.676000000000002,34.666666666666664,29.03727272727273
mizoram,26.646666666666665,21.482,27.743333333333336,24.59818181818182
kerala,27.0,27.6,29.333333333333332,27.90909090909091
manipur,27.23333333333333,23.14,29.599999999999998,26.018181818181823
uttarakhand,25.666666666666668,14.6,23.133333333333336,19.94545454545454
odisha,28.5,23.56,30.266666666666666,26.736363636363635
west bengal,28.333333333333332,22.28,29.2,25.818181818181824
himachal pradesh,22.03333333333333,10.379999999999999,17.5,15.500000000000002
arunachal pradesh,11.200000000000001,1.1800000000000002,4.8,4.8999999999999995
tamil nadu,29.566666666666666,25.439999999999998,29.433333333333334,27.65454545454546
chandigarh,28.7,16.82,26.53333333333333,22.709090909090907
puducherry,29.400000000000002,25.759999999999998,29.0,27.636363636363637
andaman and nicobar islands,27.0,26.6,27.8,27.036363636363635
assam,27.333333333333332,20.799999999999997,25.03333333333333,23.736363636363638
maharashtra,26.366666666666664,25.6,27.96666666666667,26.454545454545453
sikkim,20.1,12.5,16.333333333333332,15.618181818181819
tripura,27.266666666666666,21.66,26.866666666666664,24.609090909090913
karnataka,22.599999999999998,21.3,25.833333333333332,22.89090909090909
haryana,35.346666666666664,21.704,33.00666666666667,28.507272727272724
chhattisgarh,28.033333333333335,22.380000000000003,31.900000000000002,26.518181818181816
nagaland,26.433333333333334,18.92,23.400000000000002,22.19090909090909
andhra pradesh,29.26666666666667,25.46,31.266666666666666,28.081818181818186
jharkhand,25.666666666666668,18.580000000000002,27.433333333333334,22.927272727272726
jammu and kashmir,27.866666666666664,14.7,23.566666666666663,20.709090909090907
